Resource,20251027_220208,20251027_220855,20251027_221633,20251027_230521,20251027_231322,20251027_232650,20251028_131918,20251028_144401,20251028_150415,20251028_151421,20251028_161353,20251028_173350,20251028_180044,20251028_184322,20251028_203743
Rune Prospe (1 unit),460.0,465.0,464.0,460.0,450.0,439.0,420.0,426.0,425.0,425.0,423.0,439.0,,399.0,448.0
Rune Prospe (10 unit),4440.0,4439.0,4440.0,4436.0,4430.0,4428.0,4399.0,4494.0,3898.0,3889.0,4491.0,4490.0,,4477.0,4479.0
Rune Prospe (100 unit),42078.0,42083.0,41084.0,41082.0,41085.0,41085.0,41018.0,40990.0,40988.0,41007.0,41004.0,40998.0,,41018.0,40999.0
Rune Ra Age (1 unit),70.0,70.0,70.0,69.0,69.0,69.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,,75.0
Rune Ra Age (10 unit),450.0,795.0,794.0,792.0,792.0,791.0,599.0,789.0,796.0,796.0,798.0,796.0,796.0,,797.0
Rune Ra Age (100 unit),8981.0,8978.0,8978.0,8985.0,8985.0,8997.0,11053.0,11046.0,10997.0,10996.0,10995.0,8886.0,8886.0,,8881.0
Rune Ra Cha (1 unit),1099.0,1099.0,1099.0,1098.0,1095.0,1094.0,1094.0,1098.0,990.0,990.0,985.0,981.0,981.0,,1099.0
Rune Ra Cha (10 unit),10999.0,11182.0,11182.0,10997.0,10997.0,10997.0,10991.0,9997.0,9997.0,10988.0,10986.0,9494.0,9493.0,,10992.0
Rune Ra Cha (100 unit),109900.0,108998.0,108998.0,108995.0,108995.0,108995.0,108979.0,108975.0,108976.0,108976.0,108900.0,108974.0,108974.0,,108945.0
Rune Ra Do Per (1 unit),2379.0,2378.0,2378.0,2377.0,2377.0,2376.0,2365.0,2364.0,2363.0,2363.0,2363.0,2362.0,2362.0,,2361.0
Rune Ra Do Per (10 unit),21985.0,21899.0,21899.0,21899.0,21899.0,21899.0,20000.0,19998.0,19998.0,19998.0,19998.0,19997.0,19997.0,,19995.0
Rune Ra Do Per (100 unit),299999.0,299999.0,299999.0,299998.0,299998.0,299998.0,299998.0,299998.0,299998.0,299998.0,299999.0,299999.0,299999.0,,299999.0
Rune Ra Fo (1 unit),1097.0,1000.0,1000.0,998.0,996.0,996.0,1118.0,1219.0,1222.0,1224.0,1224.0,1120.0,1120.0,,1225.0
Rune Ra Fo (10 unit),11893.0,11883.0,11885.0,11887.0,11887.0,11799.0,12287.0,12283.0,12282.0,12283.0,12280.0,12288.0,12339.0,,12197.0
Rune Ra Fo (100 unit),129979.0,129978.0,129978.0,129978.0,129980.0,129980.0,123996.0,114000.0,115000.0,115000.0,123997.0,123997.0,123996.0,,122997.0
Rune Ra Ine (1 unit),719.0,716.0,716.0,712.0,712.0,7.0,717.0,699.0,698.0,715.0,718.0,727.0,727.0,810.0,799.0
Rune Ra Ine (10 unit),7750.0,7747.0,7747.0,7745.0,7745.0,7698.0,7989.0,7995.0,7995.0,7995.0,7994.0,7995.0,7996.0,7995.0,7994.0
Rune Ra Ine (100 unit),76998.0,76998.0,76998.0,76998.0,76998.0,76998.0,77971.0,77967.0,77967.0,77966.0,77968.0,77976.0,77976.0,77975.0,77975.0
Rune Ra Ini (1 unit),4897.0,4897.0,4894.0,4898.0,4898.0,4897.0,4873.0,4839.0,4111.0,4111.0,4498.0,4496.0,4496.0,810.0,4497.0
